feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-02-10 08:20:00,2009-02-10 08:50:00,2009-02-10 00:00:00,2009-02-10 08:10:00,2009-02-09 11:30:00,2009-02-09 16:00:00,,,,
2009-02-10 09:30:00,2009-02-10 10:00:00,2009-02-10 13:00:00,2009-02-10 13:40:00,2009-02-09 18:30:00,2009-02-09 20:00:00,,,,
2009-02-10 10:00:00,2009-02-10 11:00:00,2009-02-10 15:00:00,2009-02-10 15:25:00,2009-02-10 21:10:00,2009-02-11 08:15:00,,,,
2009-02-10 14:15:00,2009-02-10 15:00:00,2009-02-10 19:00:00,2009-02-10 19:40:00,,,,,,
2009-02-10 15:50:00,2009-02-10 16:20:00,2009-02-10 22:20:00,2009-02-11 08:25:00,,,,,,
2009-02-10 17:30:00,2009-02-10 17:45:00,2009-02-11 10:30:00,2009-02-11 11:40:00,,,,,,
2009-02-10 20:00:00,2009-02-10 20:30:00,2009-02-11 13:25:00,2009-02-11 14:00:00,,,,,,
2009-02-10 21:00:00,2009-02-10 21:15:00,2009-02-11 19:30:00,2009-02-11 20:05:00,,,,,,
2009-02-11 08:20:00,2009-02-11 09:30:00,2009-02-11 22:00:00,2009-02-12 08:25:00,,,,,,
2009-02-11 11:30:00,2009-02-11 11:45:00,,,,,,,,
2009-02-11 14:15:00,2009-02-11 15:00:00,,,,,,,,
2009-02-11 15:00:00,2009-02-11 16:00:00,,,,,,,,
2009-02-11 16:50:00,2009-02-11 17:15:00,,,,,,,,
2009-02-11 17:30:00,2009-02-11 17:45:00,,,,,,,,
2009-02-11 19:15:00,2009-02-11 19:35:00,,,,,,,,
2009-02-11 20:30:00,2009-02-11 21:00:00,,,,,,,,
2009-02-11 21:15:00,2009-02-11 21:30:00,,,,,,,,
