feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-01-20 01:15:00,2009-01-20 01:45:00,2009-01-20 00:00:00,2009-01-20 00:20:00,,,,,,
2009-01-20 04:00:00,2009-01-20 04:25:00,2009-01-20 01:30:00,2009-01-20 04:55:00,,,,,,
2009-01-20 07:15:00,2009-01-20 07:30:00,2009-01-20 06:00:00,2009-01-20 08:00:00,,,,,,
2009-01-20 08:00:00,2009-01-20 08:10:00,2009-01-20 09:20:00,2009-01-20 10:00:00,,,,,,
2009-01-20 10:40:00,2009-01-20 10:45:00,2009-01-20 11:20:00,2009-01-20 12:05:00,,,,,,
2009-01-20 13:00:00,2009-01-20 13:07:00,2009-01-20 14:10:00,2009-01-20 16:00:00,,,,,,
2009-01-20 15:30:00,2009-01-20 15:45:00,2009-01-20 17:10:00,2009-01-20 18:00:00,,,,,,
2009-01-20 17:30:00,2009-01-20 17:50:00,2009-01-20 19:50:00,2009-01-20 20:30:00,,,,,,
2009-01-20 20:15:00,2009-01-20 20:35:00,2009-01-20 23:45:00,2009-01-21 02:25:00,,,,,,
2009-01-20 23:20:00,2009-01-20 23:35:00,2009-01-21 03:55:00,2009-01-21 07:10:00,,,,,,
2009-01-21 02:00:00,2009-01-21 02:15:00,2009-01-21 07:45:00,2009-01-21 08:55:00,,,,,,
2009-01-21 06:20:00,2009-01-21 06:35:00,2009-01-21 09:30:00,2009-01-21 10:10:00,,,,,,
2009-01-21 08:45:00,2009-01-21 09:20:00,2009-01-21 11:05:00,2009-01-21 11:20:00,,,,,,
2009-01-21 09:00:00,2009-01-21 09:10:00,2009-01-21 12:50:00,2009-01-21 13:20:00,,,,,,
2009-01-21 11:55:00,2009-01-21 12:05:00,2009-01-21 15:45:00,2009-01-21 16:20:00,,,,,,
2009-01-21 15:10:00,2009-01-21 15:20:00,2009-01-21 18:00:00,2009-01-21 19:00:00,,,,,,
2009-01-21 17:30:00,2009-01-21 17:40:00,2009-01-21 20:45:00,2009-01-21 21:15:00,,,,,,
2009-01-21 20:00:00,2009-01-21 20:20:00,2009-01-21 23:40:00,2009-01-22 02:20:00,,,,,,
2009-01-21 22:30:00,2009-01-21 22:50:00,,,,,,,,
