feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-06-16 00:05:00,2009-06-16 00:20:00,2009-06-16 00:25:00,2009-06-16 04:15:00,2009-06-17 06:15:00,Nan,2009-06-17 10:45:00,Nan,,
2009-06-16 03:30:00,2009-06-16 04:00:00,2009-06-16 05:00:00,2009-06-16 09:15:00,,,,,,
2009-06-16 08:15:00,2009-06-16 08:30:00,2009-06-16 10:15:00,2009-06-16 10:30:00,,,,,,
2009-06-16 09:15:00,2009-06-16 09:20:00,2009-06-16 10:40:00,2009-06-16 11:45:00,,,,,,
2009-06-16 11:15:00,2009-06-16 11:31:00,2009-06-16 12:20:00,2009-06-16 16:30:00,,,,,,
2009-06-16 16:55:00,2009-06-16 17:15:00,2009-06-16 18:35:00,2009-06-16 19:30:00,,,,,,
2009-06-16 19:43:00,2009-06-16 19:51:00,2009-06-16 22:20:00,2009-06-17 01:10:00,,,,,,
2009-06-16 22:05:00,2009-06-16 22:25:00,2009-06-17 01:50:00,2009-06-17 06:10:00,,,,,,
2009-06-17 00:15:00,2009-06-17 00:25:00,2009-06-17 07:30:00,2009-06-17 10:15:00,,,,,,
2009-06-17 01:25:00,2009-06-17 01:40:00,2009-06-17 10:15:00,2009-06-17 11:00:00,,,,,,
2009-06-17 06:15:00,2009-06-17 06:25:00,2009-06-17 12:15:00,2009-06-17 13:35:00,,,,,,
2009-06-17 06:45:00,2009-06-17 07:00:00,2009-06-17 16:20:00,2009-06-17 18:10:00,,,,,,
2009-06-17 10:00:00,2009-06-17 10:15:00,2009-06-17 18:40:00,2009-06-17 19:40:00,,,,,,
2009-06-17 12:30:00,2009-06-17 12:45:00,2009-06-17 22:05:00,2009-06-18 03:40:00,,,,,,
2009-06-17 14:45:00,2009-06-17 15:00:00,,,,,,,,
2009-06-17 16:15:00,2009-06-17 16:30:00,,,,,,,,
2009-06-17 18:00:00,2009-06-17 18:15:00,,,,,,,,
2009-06-17 21:00:00,2009-06-17 21:15:00,,,,,,,,
